school_year,division_name,school_name,gender,total_count,total_count_stem,total_count_non_stem,pass_advanced_count,pass_advanced_count_stem,pass_advanced_count_non_stem,pass_proficient_count,fail_count,pass_count,pass_count_stem,pass_count_non_stem,year,test_level,test_source,school_level,CS_enrollment_rate,pass_advanced_rate,pass_advanced_rate_stem,pass_advanced_rate_non_stem,pass_rate,pass_rate_stem,pass_rate_non_stem
2021-2022,Accomack County,Arcadia High,F,498,202,296,33,12,21,290,175,323,149,174,2022,EOC,SOL,High School,,6.626506024096386,5.9405940594059405,7.094594594594595,64.85943775100401,73.76237623762376,58.78378378378378
2021-2022,Accomack County,Arcadia High,M,523,206,317,24,3,21,249,250,273,125,148,2022,EOC,SOL,High School,,4.588910133843212,1.4563106796116505,6.624605678233439,52.198852772466545,60.679611650485434,46.68769716088328
2021-2022,Accomack County,Chincoteague High,F,115,45,70,20,3,17,70,25,90,40,50,2022,EOC,SOL,High School,,17.391304347826086,6.666666666666667,24.285714285714285,78.26086956521739,88.88888888888889,71.42857142857143
2021-2022,Accomack County,Chincoteague High,M,104,45,59,20,7,13,63,21,83,40,43,2022,EOC,SOL,High School,,19.230769230769234,15.555555555555555,22.033898305084744,79.8076923076923,88.88888888888889,72.88135593220339
2021-2022,Accomack County,Nandua High,F,420,162,258,32,9,23,273,115,305,137,168,2022,EOC,SOL,High School,,7.6190476190476195,5.555555555555555,8.914728682170542,72.61904761904762,84.5679012345679,65.11627906976744
2021-2022,Accomack County,Nandua High,M,471,173,298,45,15,30,279,147,324,142,182,2022,EOC,SOL,High School,,9.554140127388536,8.670520231213873,10.06711409395973,68.78980891719745,82.08092485549133,61.07382550335571
2021-2022,Albemarle County,Albemarle High,F,1191,645,546,174,47,127,629,388,803,414,389,2022,EOC,SOL,High School,3.091684434968017,14.609571788413097,7.286821705426356,23.26007326007326,67.4223341729639,64.18604651162791,71.24542124542124
2021-2022,Albemarle County,Albemarle High,M,1215,650,565,150,49,101,645,420,795,407,388,2022,EOC,SOL,High School,13.109756097560975,12.345679012345679,7.538461538461538,17.876106194690266,65.4320987654321,62.61538461538462,68.67256637168143
2021-2022,Albemarle County,Community Lab School,F,116,75,41,4,3,1,86,26,90,59,31,2022,EOC,SOL,High School,2.0202020202020203,3.4482758620689653,4.0,2.4390243902439024,77.58620689655173,78.66666666666666,75.60975609756098
2021-2022,Albemarle County,Community Lab School,M,53,41,12,10,6,4,34,9,44,33,11,2022,EOC,SOL,High School,1.1363636363636365,18.867924528301888,14.634146341463413,33.33333333333333,83.01886792452831,80.48780487804879,91.66666666666666
2021-2022,Albemarle County,Monticello High,F,725,390,335,79,14,65,417,229,496,238,258,2022,EOC,SOL,High School,1.9543973941368076,10.896551724137932,3.5897435897435894,19.402985074626866,68.41379310344827,61.02564102564103,77.01492537313432
2021-2022,Albemarle County,Monticello High,M,752,418,334,56,18,38,445,251,501,252,249,2022,EOC,SOL,High School,10.066006600660065,7.446808510638298,4.30622009569378,11.377245508982035,66.62234042553192,60.28708133971292,74.55089820359282
2021-2022,Albemarle County,Western Albemarle High,F,701,378,323,141,50,91,442,118,583,307,276,2022,EOC,SOL,High School,2.425373134328358,20.114122681883025,13.227513227513226,28.173374613003094,83.16690442225392,81.21693121693121,85.44891640866872
2021-2022,Albemarle County,Western Albemarle High,M,777,416,361,149,41,108,477,151,626,317,309,2022,EOC,SOL,High School,16.37239165329053,19.176319176319176,9.85576923076923,29.916897506925206,80.56628056628057,76.20192307692307,85.59556786703601
2021-2022,Alexandria City,Alexandria City High,F,2973,1339,1634,322,64,258,1315,1336,1637,683,954,2022,EOC,SOL,High School,1.3339685564554549,10.830810628994282,4.779686333084392,15.789473684210526,55.062226707029936,51.00821508588499,58.3843329253366
2021-2022,Alexandria City,Alexandria City High,M,3383,1582,1801,272,58,214,1429,1682,1701,706,995,2022,EOC,SOL,High School,2.8620988725065044,8.040201005025125,3.6662452591656134,11.882287617990006,50.28081584392551,44.62705436156764,55.247084952803995
2021-2022,Alleghany County,Alleghany High,F,364,139,225,19,2,17,201,144,220,86,134,2022,EOC,SOL,High School,1.6260162601626018,5.21978021978022,1.4388489208633095,7.555555555555555,60.43956043956044,61.87050359712231,59.55555555555555
2021-2022,Alleghany County,Alleghany High,M,520,212,308,45,11,34,283,192,328,142,186,2022,EOC,SOL,High School,5.621301775147929,8.653846153846153,5.188679245283019,11.03896103896104,63.07692307692307,66.98113207547169,60.3896103896104
2021-2022,Amelia County,Amelia County High,F,371,211,160,17,3,14,214,140,231,138,93,2022,EOC,SOL,High School,5.952380952380952,4.5822102425876015,1.4218009478672986,8.75,62.264150943396224,65.40284360189574,58.12500000000001
2021-2022,Amelia County,Amelia County High,M,361,214,147,19,5,14,223,119,242,142,100,2022,EOC,SOL,High School,4.958677685950414,5.263157894736842,2.336448598130841,9.523809523809524,67.03601108033241,66.35514018691589,68.02721088435374
2021-2022,Amherst County,Amherst County High,F,648,318,330,71,6,65,382,195,453,209,244,2022,EOC,SOL,High School,,10.95679012345679,1.8867924528301887,19.696969696969695,69.9074074074074,65.72327044025157,73.93939393939394
2021-2022,Amherst County,Amherst County High,M,728,348,380,61,8,53,401,266,462,203,259,2022,EOC,SOL,High School,,8.379120879120878,2.2988505747126435,13.94736842105263,63.46153846153846,58.333333333333336,68.15789473684211
